TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20251010,90,1.4,1230,29,4.2,2153,32,7.8,2144,16.4,18.2,1448,14.9,1,15.5,18.0,15.6,94.5,88.0,2325,17.6,1.0,0.7,-9.0,1017.6,1019.7,1022.9,1,1017.9,2352,9.8,0.0,11.4,-9.0,3.6,0.72,1300,25.8,-9.0,-9.0,7.8,943,3.7,1027,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,93,0.4,324,27,1.2,8,27,1.9,17,16.0,17.2,1617,14.8,55,15.6,18.1,15.0,98.0,94.0,1,17.7,0.7,0.5,-9.0,1008.0,1019.4,1022.2,16,1018.0,2350,10.0,0.0,11.4,-9.0,2.53,0.45,1300,30.1,45.4,24.0,3.0,1659,0.9,1749,-9.0,-9,-9.0,-9,-9.0,-9,21.2,22.5,23.2,23.7,21.7
20251010,95,2.2,1931,34,4.9,2311,36,8.1,2310,14.9,16.3,1512,14.1,1,14.8,17.7,14.9,99.5,97.0,2310,16.8,0.6,0.4,-9.0,1000.9,1019.4,1021.8,1,1017.9,2400,9.9,0.0,11.4,-9.0,1.89,0.4,1200,47.8,64.9,-9.0,4.1,914,0.9,928,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,98,0.4,362,9,1.2,233,9,4.0,21,15.7,16.7,1245,15.0,1,15.6,17.8,15.3,100.0,100.0,1,17.7,0.6,0.4,-9.0,1004.4,1018.1,1020.6,1,1016.4,2357,9.9,0.0,11.5,-9.0,1.49,0.33,1200,45.6,-9.0,-9.0,3.7,927,1.1,2305,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,99,2.0,1718,9,3.5,2054,5,7.1,2117,15.6,16.5,1448,14.6,1,15.5,18.5,15.4,100.0,100.0,1,17.6,0.5,0.3,-9.0,1014.9,1018.5,1020.9,1,1016.7,2400,10.0,0.0,11.4,-9.0,1.46,0.25,1200,41.0,-9.0,-9.0,4.0,1619,1.0,37,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,100,0.3,287,11,1.6,1514,25,2.8,1246,13.3,14.8,1145,11.5,1,12.7,15.2,11.6,96.6,95.0,1146,14.7,0.9,0.6,-9.0,931.7,1020.4,1023.7,9,1018.9,1434,9.8,0.0,11.4,-9.0,3.59,0.67,1100,9.5,-9.0,-9.0,1.4,1947,0.6,2002,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,101,1.5,1310,32,2.8,2,32,4.1,2251,15.8,17.0,1519,14.7,125,15.0,18.1,14.8,95.3,92.0,1,17.1,0.8,0.5,-9.0,1009.6,1018.6,1021.4,14,1017.1,2355,10.0,0.0,11.4,-9.0,2.33,0.38,1200,34.5,50.1,-9.0,3.1,2308,1.3,2348,-9.0,-9,-9.0,-9,-9.0,-9,22.0,23.0,23.4,22.0,18.3
20251010,102,4.3,3695,11,5.7,407,11,8.5,2113,17.4,17.7,1433,16.5,1,16.4,17.2,16.3,94.6,92.0,2335,18.6,0.8,0.6,-9.0,1010.5,1014.7,1017.1,1,1013.3,2400,10.0,0.0,11.4,-9.0,1.53,0.27,1200,30.2,-9.0,22.17,3.7,328,1.0,948,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20251010,104,0.6,554,29,1.7,1343,32,3.0,1352,16.3,17.9,1606,14.7,24,16.2,18.3,14.9,99.6,97.0,1215,18.4,0.8,0.5,-9.0,1009.6,1018.5,1021.7,1,1017.0,1734,10.0,0.0,11.5,-9.0,2.92,0.54,1400,9.8,9.5,23.67,1.7,600,0.5,605,-9.0,-9,-9.0,-9,-9.0,-9,19.5,21.1,21.6,20.5,16.9
20251010,105,0.7,570,32,2.3,1409,34,3.8,2335,17.1,18.7,1650,15.6,230,16.0,17.9,14.6,93.9,90.0,6,18.2,0.9,0.6,-9.0,1016.5,1019.7,1022.9,3,1018.3,1717,10.0,0.0,11.5,-9.0,2.96,0.48,1200,6.7,-9.0,-9.0,1.7,1940,0.5,2003,-9.0,-9,-9.0,-9,-9.0,-9,19.6,21.7,23.0,21.6,18.8
