wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    2.5, 23,    3.9,   25.9,  72,    4.9,   17.45,   18.9,   26.0, 1004.6,    2.7,   29.4,    1.7,,01,    4.6,   18.78,   22.6,   11.4,  72,WSW,간여암,Ganyoam,961,2016,9
    2.2, 23,    3.9,   25.0,  87,    5.1,   17.34,   19.0,   22.8, 1005.7,    2.7,   25.7,    1.5,,02,    4.8,   18.70,   19.2,    8.1,  87,NE,간여암,Ganyoam,961,2016,9
    2.4, 03,    3.6,   24.3,  85,    5.2,   17.28,   20.2,   24.9, 1008.1,    2.5,   28.2,    1.6,,03,    4.8,   18.50,   22.3,    7.6,  85,S,간여암,Ganyoam,961,2016,9
    1.2, 21,    1.8,   24.4,  80,    5.4,   17.25,   11.5,   25.7, 1009.3,    1.2,   29.5,    0.8,,04,    4.7,   18.42,   22.7,    7.9,  80,ENE,간여암,Ganyoam,961,2016,9
    0.9, 02,    1.4,   24.0,  82,    5.0,   17.25,    9.4,   25.7, 1010.0,    0.9,   29.6,    0.6,,05,    4.5,   18.25,   22.5,    3.6,  82,NE,간여암,Ganyoam,961,2016,9
    0.5, 01,    0.7,   23.3,  85,    5.2,   17.27,    9.1,   25.1, 1008.7,    0.4,   27.9,    0.3,,06,    4.7,   18.14,   22.6,    2.7,  85,NNW,간여암,Ganyoam,961,2016,9
    0.7, 20,    1.3,   23.0,  79,    7.1,   17.36,    7.8,   25.2, 1005.7,    0.9,   29.0,    0.5,,07,    5.4,   18.14,   22.1,    3.8,  79,WNW,간여암,Ganyoam,961,2016,9
    0.8, 21,    1.1,   23.1,  67,    6.1,   17.37,    9.7,   24.6, 1007.1,    0.7,   27.7,    0.5,,08,    4.9,   18.05,   21.8,    5.7,  67,WNW,간여암,Ganyoam,961,2016,9
    0.7, 01,    0.9,   23.0,  75,    5.6,   17.32,    9.6,   24.4, 1009.8,    0.6,   28.5,    0.4,,09,    4.9,   17.79,   21.5,    4.5,  75,NW,간여암,Ganyoam,961,2016,9
    0.8, 22,    1.3,   23.0,  73,    5.9,   17.26,    9.8,   25.1, 1011.9,    0.9,   28.1,    0.5,,10,    5.0,   17.66,   22.4,    4.3,  73,E,간여암,Ganyoam,961,2016,9
    1.3, 03,    2.2,   23.7,  73,    4.6,   17.19,   11.4,   24.7, 1014.1,    1.5,   28.1,    0.9,,11,    4.3,   17.72,   21.8,    7.9,  73,E,간여암,Ganyoam,961,2016,9
    1.3, 19,    2.1,   24.3,  76,    4.5,   17.16,   14.7,   22.9, 1015.5,    1.4,   26.2,    0.8,,12,    4.3,   17.92,   19.2,    9.8,  76,NNE,간여암,Ganyoam,961,2016,9
    1.2, 17,    2.0,   24.6,  72,    4.8,   17.10,   11.6,   24.0, 1017.6,    1.4,   27.5,    0.8,,13,    4.4,   18.03,   20.1,    7.6,  72,E,간여암,Ganyoam,961,2016,9
    1.5, 04,    1.9,   24.5,  73,    6.2,   17.10,   12.0,   23.9, 1017.6,    1.3,   27.3,    1.0,,14,    5.1,   18.21,   20.5,    5.9,  73,ENE,간여암,Ganyoam,961,2016,9
    1.2, 02,    1.5,   24.6,  77,    6.6,   17.12,    5.7,   24.1, 1016.3,    1.0,   27.8,    0.8,,15,    5.5,   18.45,   21.2,    3.9,  77,NE,간여암,Ganyoam,961,2016,9
    1.3, 23,    2.3,   24.6,  79,    6.3,   17.17,   13.5,   24.2, 1014.1,    1.6,   27.7,    0.9,,16,    5.4,   18.67,   21.6,    6.6,  79,ENE,간여암,Ganyoam,961,2016,9
    2.7>, 15>,    4.9>,   24.1,  89,    5.1,   17.33,   19.4,   23.5, 1008.2,    3.3>,   26.7,    1.8>,,17,    4.6,   18.85,   21.5,    9.4,  89,NE,간여암,Ganyoam,961,2016,9
    3.0, 22,    4.7,   23.9,  82,    5.1,   17.36,   19.7,   22.5, 1008.2,    3.1,   25.1,    2.0,,18,    4.5,   18.87,   19.3,   13.1,  82,ENE,간여암,Ganyoam,961,2016,9
    3.0, 22,    4.8,   24.2,  68,    5.6,   17.39,   23.0,   22.4, 1007.9,    3.2,   25.5,    2.0,,19,    4.6,   18.92,   19.7,   16.2,  68,NE,간여암,Ganyoam,961,2016,9
    2.3, 01,    3.4,   23.8,  51,    5.5,   17.24,   19.0,   22.0, 1013.7,    2.3,   26.5,    1.5,,20,    4.8,   18.64,   18.2,   11.4,  51,NNE,간여암,Ganyoam,961,2016,9
    1.8, 01,    2.3,   23.7,  55,    5.0,   17.06,   15.2,   22.0, 1018.8,    1.5,   25.8,    1.2,,21,    4.7,   18.27,   18.9,   10.3,  55,NE,간여암,Ganyoam,961,2016,9
