wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    1.7, 21,    2.7,   23.1,  84,    4.7,   17.08,   11.5,   21.7, 1016.9,    1.8,   24.5,    1.1,,01,    4.5,   18.26,   19.3,    8.8,  84,ENE,간여암,Ganyoam,961,2016,10
    1.1, 10,    1.8,   23.0,  86,    4.9,   17.08,    9.6,   23.1], 1015.0,    1.2,   26.0,    0.7,,02,    4.4,   18.27,   20.7,    7.2,  86,E,간여암,Ganyoam,961,2016,10
    1.0, 14,    1.6,   23.1,  88,    5.2,   17.16,    8.1,   24.5, 1010.5,    1.0,   27.9,    0.6,,03,    4.4,   18.35,   22.3,    4.0,  88,SW,간여암,Ganyoam,961,2016,10
    2.5, 22,    5.5,   23.2,  77,    6.4,   17.20,   26.7,   23.5, 1011.7,    3.7,   27.1,    1.7,,04,    4.9,   18.32,   20.3,   14.5,  77,ENE,간여암,Ganyoam,961,2016,10
,,,,,,,   44.9,   22.7, 1004.0],,   29.1,,,05,,,   17.7,   16.6>,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,   13.2,   22.4, 1019.0,,   27.3,,,06,,,   17.4,    7.6,,E,간여암,Ganyoam,961,2016,10
,,,,,,,   20.3,   22.1, 1018.5,,   26.3,,,07,,,   17.2,   13.0,,E,간여암,Ganyoam,961,2016,10
,,,,,,,   20.9,   20.8, 1010.9,,   26.4,,,08,,,   16.8,    9.4,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,   21.7,   17.9, 1016.3,,   22.6,,,09,,,   12.6,    9.9,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,   13.6,   18.7, 1018.6,,   24.1,,,10,,,   12.5,    9.4,,NE,간여암,Ganyoam,961,2016,10
,,,,,,,   11.9,   19.3, 1018.8,,   24.5,,,11,,,   14.8,    7.6,,NE,간여암,Ganyoam,961,2016,10
,,,,,,,   11.3,   20.1, 1020.6,,   24.8,,,12,,,   15.7,    6.1,,NE,간여암,Ganyoam,961,2016,10
,,,,,,,    8.4,   20.3, 1021.9,,   24.3,,,13,,,   15.3,    5.4,,NNE,간여암,Ganyoam,961,2016,10
,,,,,,,   10.1,   20.2, 1023.8,,   24.8,,,14,,,   14.7,    7.4,,ENE,간여암,Ganyoam,961,2016,10
,,,,,,,   15.2,   20.7], 1023.8,,   25.7,,,15,,,   15.2,   10.8,,ENE,간여암,Ganyoam,961,2016,10
,,,,,,,   12.2,   20.1, 1018.6,,   23.4,,,16,,,   15.6,    7.4,,E,간여암,Ganyoam,961,2016,10
,,,,,,,    7.4,   21.1, 1016.5,,   25.9,,,17,,,   17.5,    2.2>,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,,   20.8, 1018.5,,   25.6,,,18,,,   15.9,,,,간여암,Ganyoam,961,2016,10
,,,,,,,,   20.5, 1017.7,,   25.3,,,19,,,   16.0,,,,간여암,Ganyoam,961,2016,10
,,,,,,,,   20.6, 1017.7,,   25.0,,,20,,,   15.5,,,,간여암,Ganyoam,961,2016,10
,,,,,,,,   19.6, 1017.8,,   23.5,,,21,,,   15.0,,,,간여암,Ganyoam,961,2016,10
,,,,,,,,   19.2, 1012.7,,   23.5,,,22,,,   14.4,,,,간여암,Ganyoam,961,2016,10
,,,,  37),,,   23.2,   18.6, 1013.0,,   23.3,,,23,,,   14.4,   15.5,  37),ENE,간여암,Ganyoam,961,2016,10
,,,,,,,   17.1,   17.8, 1016.8,,   21.2,,,24,,,   13.9,   11.5,,NE,간여암,Ganyoam,961,2016,10
,,,,,,,   19.4,   20.0, 1012.9,,   26.0,,,25,,,   17.3,    8.1,,WSW,간여암,Ganyoam,961,2016,10
,,,,,,,    9.7,   18.8, 1018.0,,   22.7,,,26,,,   14.4,    4.3,,NNE,간여암,Ganyoam,961,2016,10
,,,,,,,   22.0,   19.3, 1020.2,,   24.1,,,27,,,   15.7,   14.1,,ENE,간여암,Ganyoam,961,2016,10
,,,,,,,   19.1,   17.2, 1013.7,,   20.2,,,28,,,   13.7,   12.6,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,   17.1,   16.0, 1022.8,,   20.1,,,29,,,   12.5,    7.8,,NNW,간여암,Ganyoam,961,2016,10
,,,,,,,   14.4,   14.7, 1027.0,,   18.1,,,30,,,    9.0,    7.1,,NNW,간여암,Ganyoam,961,2016,10
,,,,  53,,,   18.0>,   15.4, 1024.8,,   20.3>,,,31,,,   13.0>,    6.6>,  53,NNW>,간여암,Ganyoam,961,2016,10
,,,,,,,,   19.9, 1017.4,,   24.3,,,월,,,   15.7,    9.0,,,간여암,Ganyoam,961,2016,10
