wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 22,    2.3,   12.3,    5.0,   16.92,   15.4,   10.4, 1015.3,   13.8,    0.7,01,    4.6,   18.37,    7.7,    4.6,  65,NNE,간여암,Ganyoam,961,2017,4
 03,    1.9,   11.8,    4.8,   16.88,   16.3,   10.7, 1018.4,   14.0,    0.6,02,    4.3,   18.21,    8.5,    8.8,  47,NNW,간여암,Ganyoam,961,2017,4
 18,    2.1,   11.4,    4.5,   16.80,   13.6,   11.7, 1023.1,   14.0,    0.7,03,    4.2,   17.92,    9.7,    8.9,  53,NNW,간여암,Ganyoam,961,2017,4
 01,    1.2,   12.0,    5.0,   16.82,   12.3,   13.2, 1024.5,   16.6,    0.4,04,    4.4,   17.60,   10.5,    2.7,  62,WNW,간여암,Ganyoam,961,2017,4
 22,    3.9,   12.8,    5.1,   16.92,   18.9,   15.8, 1018.9,   18.3,    1.2,05,    4.4,   17.55,   13.1,    9.1,  78,SSW,간여암,Ganyoam,961,2017,4
 06,    5.7,   12.0,    5.1,   17.03,   18.7,   14.0, 1013.1,   16.8,    2.5,06,    4.6,   17.75,   11.0,    8.0,  90,SSW,간여암,Ganyoam,961,2017,4
 05,    2.5,   11.8,    5.4,   17.10,   11.4,   12.8, 1013.5,   17.3,    1.2,07,    5.0,   17.98,    9.5,    4.7,  88,NE,간여암,Ganyoam,961,2017,4
 05,    1.7,   11.7,    5.4,   17.12,   11.7,   13.7, 1011.2,   17.5,    0.8,08,    4.9,   18.14,   10.5,    5.4,  80,WSW,간여암,Ganyoam,961,2017,4
 20,    5.0,   11.9,    5.0,   17.11,   24.1,   13.7, 1012.4,   16.8,    1.5,09,    4.6,   18.24,   11.3,   12.3,  69,E,간여암,Ganyoam,961,2017,4
 19,    4.5,   12.6,    5.1,   17.18,   26.9,   12.1, 1009.3,   15.9,    2.1,10,    4.6,   18.44,    8.6,   18.4,  72,ENE,간여암,Ganyoam,961,2017,4
 01,    1.9,   13.1,    5.1,   17.16,   16.1,   12.6, 1005.6,   17.7,    0.8,11,    4.6,   18.41,    8.6,    8.5,  70,NNW,간여암,Ganyoam,961,2017,4
 02,    2.1,   13.2,    5.0,   16.96,   16.1,   13.6, 1014.0,   16.2,    0.7,12,    4.5,   18.20,   11.7,    8.6,  41,NNW,간여암,Ganyoam,961,2017,4
 15,    2.7,   12.8,    4.4,   16.78,   14.2,   12.9, 1019.2,   15.8,    0.8,13,    4.1,   18.06,   11.8,    7.6,  58,WSW,간여암,Ganyoam,961,2017,4
 23,    2.4,   13.1,    4.9,   16.84,   13.8,   14.9, 1015.8,   18.7,    1.1,14,    4.3,   18.11,   12.2,    7.0,  75,S,간여암,Ganyoam,961,2017,4
 02,    2.2,   12.6,    5.0,   16.90,   12.1,   15.6, 1015.3,   19.6,    1.0,15,    4.7,   18.02,   12.4,    4.2,  82,SW,간여암,Ganyoam,961,2017,4
 08,    1.4,   13.3,    4.9,   16.93,   12.3,   13.7, 1015.0,   17.2,    0.6,16,    4.6,   17.92,   10.2,    2.3,  92,ENE,간여암,Ganyoam,961,2017,4
 10,    4.2,   13.3,    5.0,   17.27,   17.7,   15.4, 1001.0,   18.4,    1.6,17,    4.5,   17.96,   12.2,    9.3,  89,WNW,간여암,Ganyoam,961,2017,4
 01,    3.0,   13.2,    5.1,   17.26,   20.8,   14.2, 1001.8,   18.3,    1.6,18,    4.7,   17.97,   10.5,    9.0,  74,W,간여암,Ganyoam,961,2017,4
 15,    2.5,   13.2,    5.1,   17.10,   18.9,   13.7, 1010.9,   15.4,    1.2,19,    4.4,   17.72,   12.5,   10.5,  54,NW,간여암,Ganyoam,961,2017,4
 04,    1.0,   13.2,    5.8,   17.09,   17.2,   13.9, 1011.8,   17.5,    0.5,20,    4.9,   17.57,   11.6,    2.2,  61,WSW,간여암,Ganyoam,961,2017,4
 04,    1.4,   13.2,    5.9,   17.08,   12.4,   14.3, 1010.1,   17.8,    0.6,21,    5.1,   17.65,   11.5,    3.2,  73,N,간여암,Ganyoam,961,2017,4
 06,    2.2,   13.3,    5.5,   17.04,   11.8,   14.1, 1013.3,   17.0,    0.7,22,    4.5,   17.82,   11.4,    5.3,  71,ESE,간여암,Ganyoam,961,2017,4
 03,    0.8,   13.4,    4.5,   16.91,   15.1,   14.8, 1018.3,   19.0,    0.4,23,    4.3,   17.82,   11.5,    2.9,  72,ENE,간여암,Ganyoam,961,2017,4
 04,    0.6,   13.6,    5.0,   16.86,   14.4,   15.9, 1020.3,   19.1,    0.3,24,    4.4,   18.01,   13.3,    2.3,  71,SSW,간여암,Ganyoam,961,2017,4
 24,    2.3,   13.4,    5.2,   16.85,   11.8,   17.3, 1019.4,   20.7,    1.1,25,    4.8,   18.26,   14.9,    3.5,  86,WSW,간여암,Ganyoam,961,2017,4
 01>,    5.4>,   13.6,    5.5,   16.95,   19.0,   15.2, 1014.8,   18.0,    0.7>,26,    4.9,   18.63,   12.6,    4.8,  80,NNW,간여암,Ganyoam,961,2017,4
 24,    1.8,   13.8,    5.7,   16.98,   18.6,   14.6, 1012.2,   17.7,    0.5,27,    4.7,   18.72,   12.4,    9.3,  41,N,간여암,Ganyoam,961,2017,4
 17,    2.5,   13.7,    4.6,   17.02,   17.2,   14.2, 1009.3,   17.8,    1.1,28,    4.1,   18.84,   12.2,    9.9,  70,WSW,간여암,Ganyoam,961,2017,4
 01,    2.6,   13.7,    4.9,   17.04,   15.6,   15.4, 1009.3,   19.3,    0.9,29,    4.5,   18.69,   11.7,    7.6,  72,WNW,간여암,Ganyoam,961,2017,4
 13,    2.4,   13.9,    4.8,   16.98,   19.9,   16.4, 1011.5,   20.5,    1.1,30,    4.4,   18.51,   14.3,   10.5,  67,WSW,간여암,Ganyoam,961,2017,4
,    2.5,   12.9,    5.1,   17.00,,   14.0, 1013.6,   17.4,    1.0,월,    4.6,   18.10,   11.3,    7.0,  70,,간여암,Ganyoam,961,2017,4
