wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    0.4, 01,    0.6,   21.7,  89,    7.8,   13.89,    6.9,   20.4, 1017.4,    0.4,   21.8,    0.3,,01,    6.8,   16.44,   18.9,    3.7,  89,ENE,갈매여,Galmaeyeo,958,2016,10
    0.4, 24,    1.3,   21.6,  79,    8.2,   13.90,   17.4,   23.1, 1012.7,    0.8,   26.6,    0.3,,02,    6.4,   16.59,   19.5,    7.6,  79,S,갈매여,Galmaeyeo,958,2016,10
    0.8, 23,    1.1,   21.8,  43,    5.7,   13.84,   15.9,   21.9, 1010.4,    0.7,   24.6,    0.5,,03,    4.9,   16.37,   20.1,    5.8,  43,SSW,갈매여,Galmaeyeo,958,2016,10
    0.8, 01,    1.5,   21.9,  77,    5.8,   13.96,    9.8,   22.3, 1012.8,    1.0,   26.5,    0.5,,04,    5.0,   16.59,   19.7,    5.3,  77,ENE,갈매여,Galmaeyeo,958,2016,10
    1.2, 15,    1.8,   21.5,  91,   11.9,   13.95,   16.7,   20.8, 1010.5,    1.2,   24.2,    0.8,,05,    6.7,   16.31,   19.1,    9.1,  91,ENE,갈매여,Galmaeyeo,958,2016,10
    2.0, 03,    2.7,   21.4,  72,    6.6,   13.87,   14.0,   19.6, 1020.9,    1.8,   20.7,    1.3,,06,    5.7,   16.22,   18.8,    8.3,  72,N,갈매여,Galmaeyeo,958,2016,10
    0.8, 03,    1.5,   21.3,  85,    6.3,   14.05,   10.3,   19.3, 1018.9,    1.0,   22.0,    0.5,,07,    5.6,   16.14,   16.4,    4.2,  85,E,갈매여,Galmaeyeo,958,2016,10
    1.1, 23,    2.7,   21.3,  67,    6.4,   13.77,   16.6,   18.9, 1013.3,    1.8,   21.3,    0.7,,08,    5.5,   15.35,   16.8,    8.0,  67,N,갈매여,Galmaeyeo,958,2016,10
    3.2, 05,    4.7,   21.0,  57,    7.2,   13.72,   19.0,   14.7, 1020.0,    3.2,   17.5,    2.2,,09,    6.3,   15.33,   12.6,   11.2,  57,N,갈매여,Galmaeyeo,958,2016,10
    1.3, 04,    2.1,   20.5,  52,    5.8,   13.90,   12.7,   15.5, 1020.3,    1.4,   17.4,    0.8,,10,    5.1,   15.32,   13.9,    5.4,  52,NE,갈매여,Galmaeyeo,958,2016,10
    0.3, 01,    0.8,   20.3,  70,    6.2,   13.79,    8.3,   17.5, 1020.3,    0.5>,   19.7,    0.2>,,11,    5.2,   15.39,   15.7,    3.8,  70,NNW,갈매여,Galmaeyeo,958,2016,10
    1.1, 18,    1.9,   20.0,  62,    6.2,   13.72,   11.7,   17.9, 1022.2,,   19.3,,,12,    5.0,   15.77,   16.6,    7.4,  62,NNE,갈매여,Galmaeyeo,958,2016,10
    0.7, 03,    1.1,   19.9,  53,    5.2,   13.76,    8.6,   17.6, 1023.0,    0.7,   19.1,    0.5,,13,    4.8,   15.75,   16.3,    4.1,  53,NE,갈매여,Galmaeyeo,958,2016,10
    0.2, 22,    0.4,   19.8,  73,    6.2,   13.80,    9.0,   18.2, 1024.4,    0.2,   20.6,    0.1,,14,    5.4,   16.21,   15.9,    4.6,  73,ENE,갈매여,Galmaeyeo,958,2016,10
    0.3, 05,    0.4,   19.8,  84,    6.1,   13.87,    7.8,   18.9, 1024.0,    0.3,   21.1,    0.2,,15,    5.2,   16.64,   16.9,    3.1,  84,E,갈매여,Galmaeyeo,958,2016,10
    0.3, 12,    0.5,   19.7,  45,    7.3,   13.82,   11.8,   18.3, 1018.4,    0.3,   20.5,    0.2,,16,    6.2,   16.98,   16.2,    4.9,  45,S,갈매여,Galmaeyeo,958,2016,10
    0.7, 21,    1.5,   19.6,  70,    6.5,   13.82,   10.9,   18.8, 1017.9,    1.0,   20.0,    0.4,,17,    5.3,   17.17,   17.8,    6.1,  70,NNE,갈매여,Galmaeyeo,958,2016,10
    0.9, 13,    1.5,   19.6,  81,    7.3,   13.94,    7.8,   18.1, 1019.7,    1.0,   19.7,    0.6,,18,    5.6,   17.29,   17.2,    4.5,  81,N,갈매여,Galmaeyeo,958,2016,10
    0.4, 01,    0.7,   19.6,  86,    7.8,   13.99,    4.8,   18.3, 1018.2,    0.5,   21.4,    0.3,,19,    6.2,   17.21,   17.1,    1.9,  86,NNE,갈매여,Galmaeyeo,958,2016,10
    0.2, 24,    0.4,   19.6,  81,   10.2,   13.93,    8.9,   17.9, 1018.4,    0.2,   19.9,    0.1,,20,    7.3,   16.94,   14.8,    4.4,  81,ENE,갈매여,Galmaeyeo,958,2016,10
    0.6, 15,    1.1,   19.5,  83,   11.9,   14.11,    8.0,   18.7, 1018.4,    0.8,   19.9,    0.4,,21,    9.1,   16.80,   17.8,    3.0,  83,E,갈매여,Galmaeyeo,958,2016,10
    0.9, 17,    1.4,   19.4,  83,   10.7,   14.00,    9.2,   18.2), 1013.4,    1.0,   20.0,    0.6,,22,    9.4,   16.20,   16.9,    4.9,  83,NE,갈매여,Galmaeyeo,958,2016,10
    1.0, 07,    1.4,   19.3,  63,    8.6,   13.96,   11.8,   17.5, 1014.2,    1.0,   19.9,    0.7,,23,    6.6,   15.82,   14.0,    5.0,  63,ENE,갈매여,Galmaeyeo,958,2016,10
    0.4, 01,    0.7,   19.2,  61,    6.5,   13.97,   12.9,   16.4, 1016.4,    0.4,   19.3,    0.3,,24,    5.9,   15.44,   14.0,    4.3,  61,SSW,갈매여,Galmaeyeo,958,2016,10
    1.6, 19,    2.8,   19.1,  83,    6.3,   13.79,   24.2,   17.8], 1011.8,    1.9,   19.5,    1.1,,25,    5.3,   15.32,   15.9,   10.5,  83,S,갈매여,Galmaeyeo,958,2016,10
    1.1, 01,    1.5,   19.0,  74,    6.0,   13.82,   12.1,   17.2, 1019.7,    1.0,   18.3,    0.7,,26,    5.0,   15.62,   16.0,    6.6,  74,NE,갈매여,Galmaeyeo,958,2016,10
    0.9, 08,    1.4,   18.9,  78,    5.7,   13.93,   10.8,   16.9], 1021.3,    0.9,   18.8,    0.5,,27,    5.1,   15.85,   14.7,    5.7,  78,ENE,갈매여,Galmaeyeo,958,2016,10
    1.3, 24,    3.9,   18.7,  76,    6.5,   13.71,   17.3,   16.1, 1016.5,    2.6,   18.5,    0.8,,28,    5.2,   16.01,   13.9,    9.4,  76,N,갈매여,Galmaeyeo,958,2016,10
    3.7, 08,    5.0,   18.2,  54,    7.5,   13.65,   17.3,   12.1, 1026.0,    3.4,   15.6,    2.5,,29,    6.4,   16.03,   10.6,   10.7,  54,N,갈매여,Galmaeyeo,958,2016,10
    1.4, 03,    2.7,   17.7,  45,    6.6,   13.85,   14.0,   11.5, 1029.1,    1.8,   14.1,    0.9,,30,    5.2,   16.46,    8.8,    6.4,  45,N,갈매여,Galmaeyeo,958,2016,10
    1.2>, 23>,    2.9>,   17.6),  62),    6.7>,   13.82>,   15.8>,   12.6), 1026.5),    1.9>,   15.7>,    0.8>,,31,    5.4>,   16.34>,    8.8>,    6.5>,  62),NNW>,갈매여,Galmaeyeo,958,2016,10
    1.0,,    1.7,   20.0,  70,    7.2,   13.87,,   17.8, 1018.6,    1.2,   20.1,    0.7,,월,    5.9,   16.19,   15.9,    6.0,  70,,갈매여,Galmaeyeo,958,2016,10
