wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 23,    1.4,   20.2,    6.2,   13.79,   18.8,   19.3, 1014.1,   22.7,    0.4,01,    5.2,   15.34,   15.0,    8.0,  75,E,갈매여,Galmaeyeo,958,2017,10
 22,    2.8,   20.1,    8.5,   13.57,   14.9,   20.3, 1010.2,   21.9,    1.1,02,    6.0,   15.34,   18.0,    8.5,  86,N,갈매여,Galmaeyeo,958,2017,10
 20,    4.0,   20.1,    7.7,   13.66,   13.7,   18.4, 1018.5,   21.0,    2.1,03,    6.6,   15.58,   16.6,    9.6,  63,N,갈매여,Galmaeyeo,958,2017,10
 02,    3.3,   20.0,    7.8,   13.73,   11.5,   17.8, 1022.6,   20.0,    1.6,04,    6.2,   16.05,   14.9,    7.0,  69,NNE,갈매여,Galmaeyeo,958,2017,10
 01,    1.1,   19.8,    6.1,   13.88,    8.0,   18.6, 1022.3,   20.2,    0.4,05,    5.3,   16.55,   17.1,    1.7,  75,SE,갈매여,Galmaeyeo,958,2017,10
 14,    0.5,   19.6,    7.1,   13.84,    8.5,   17.7, 1017.9,   19.7,    0.2,06,    5.9,   16.67,   15.7,    4.0,  84,E,갈매여,Galmaeyeo,958,2017,10
 13,    0.6,   19.6,    6.6,   13.87,    4.6,   19.0, 1019.9,   20.2,    0.2,07,    5.4,   16.88,   18.0,    3.0,  86,N,갈매여,Galmaeyeo,958,2017,10
 01,    0.4,   19.7,    6.1,   13.95,    4.1,   21.6, 1022.4,   25.0,    0.1,08,    5.2,   17.05,   18.7,    1.1,  88,NNW,갈매여,Galmaeyeo,958,2017,10
 15>,    0.3>,   19.8),    7.1>,   14.05>,    3.1>,, 1022.0),   26.0>,    0.1>,09,    5.5>,   16.86>,,    0.5>,,ESE>,갈매여,Galmaeyeo,958,2017,10
 16,    0.3,   20.0,    7.1,   13.92,    6.2,, 1019.2,,    0.1,10,    6.1,   16.72,,    1.8,,SSW,갈매여,Galmaeyeo,958,2017,10
