wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
,,,   24.4,  79,    5.7,   16.04,   15.8,   24.1, 1000.2,,   26.4,,,01,    5.3,   17.29,   20.9,    8.0,  79,SE,서수도,Seosudo,955,2016,9
,,,   24.5,  72,    5.7,   16.06,   14.2,   24.4, 1006.2,,   27.2,,,02,    5.2,   17.30,   22.0,    7.0,  72,SE,서수도,Seosudo,955,2016,9
,,,   24.6,  78,    6.4,   16.01,   10.5,   23.5, 1009.0,,   25.2,,,03,    5.2,   17.17,   22.0,    3.7,  78,ENE,서수도,Seosudo,955,2016,9
,,,   24.7,  85,    5.9,   15.99,    5.9,   24.2, 1011.2,,   25.5,,,04,    5.1,   17.02,   23.0,    3.0,  85,WNW,서수도,Seosudo,955,2016,9
,,,   24.7,  82,    6.0,   16.03,    6.9,   24.2, 1010.3,,   26.2,,,05,    4.8,   17.04,   23.4,    3.0,  82,WSW,서수도,Seosudo,955,2016,9
,,,   24.7,  82,    6.5,   16.06,    6.4,   23.6, 1009.4,,   24.8,,,06,    4.9,   16.89,   22.1,    2.8,  82,SSE,서수도,Seosudo,955,2016,9
,,,   24.8,  81,    5.6>,   16.09,    5.8,   23.4, 1006.8,,   24.8,,,07,    5.1>,   16.82,   22.6,    2.4,  81,SW,서수도,Seosudo,955,2016,9
,,,   24.8,  83,    6.0,   16.12,    4.9,   23.5, 1007.2,,   24.7,,,08,    5.2,   16.76,   22.5,    2.1,  83,SSE,서수도,Seosudo,955,2016,9
,,,   24.8,  80,    6.9,   16.23,    7.3,   23.2, 1010.3,,   24.2,,,09,    5.3,   16.76,   22.4,    3.2,  80,SSW,서수도,Seosudo,955,2016,9
,,,   24.9,  83,    7.2,   16.39,    5.7,   23.4, 1012.4,,   25.2,,,10,    5.3,   16.84,   21.0,    2.7,  83,NE,서수도,Seosudo,955,2016,9
,,,   25.0,  80,    5.5,   16.57,   12.8,   23.5, 1014.8,,   24.6,,,11,    5.2,   17.05,   20.6,    3.0,  80,NW,서수도,Seosudo,955,2016,9
,,,   25.0,  78,    6.3,   16.84,    7.6,   23.9, 1016.6,,   25.6,,,12,    5.2,   17.29,   22.4,    3.2,  78,NW,서수도,Seosudo,955,2016,9
,,,   25.0,  79,    5.6>,   17.11,    8.8,   23.4, 1018.2,,   25.7,,,13,    5.3>,   17.46,   21.3,    3.8,  79,NNE,서수도,Seosudo,955,2016,9
,,,   25.1,  76,    6.1,   17.43,    5.1,   23.9, 1017.9,,   24.9,,,14,    5.5,   17.93,   23.1,    2.4,  76,WSW,서수도,Seosudo,955,2016,9
,,,   25.1,  77,    6.9>,   17.80,    6.2,   23.6, 1016.9,,   24.7,,,15,    5.6>,   18.43,   22.7,    2.1,  77,SE,서수도,Seosudo,955,2016,9
,,,   24.9,  80,    7.6>,   18.20,    4.2,   23.6, 1015.1,,   24.8,,,16,    5.8>,   18.98,   22.9,    1.3,  80,SSE,서수도,Seosudo,955,2016,9
,,,   24.8,  73,    6.4,   18.53,   15.0,   23.1, 1011.5,,   26.5,,,17,    5.7,   19.36,   20.2,    5.8,  73,NE,서수도,Seosudo,955,2016,9
,,,   24.6,  67,    6.2>,   18.82,    9.9,   23.4, 1011.7,,   28.1,,,18,    5.6>,   19.77,   21.0,    4.9,  67,N,서수도,Seosudo,955,2016,9
,,,   24.5,  59,    6.4,,   11.8,   22.4, 1013.1,,   25.9,,,19,    5.7,,   19.9,    5.2,  59,N,서수도,Seosudo,955,2016,9
,,,   24.2,  49,    6.3,,   13.6,   21.1, 1017.4,,   24.9,,,20,    5.8,,   17.7,    5.3,  49,NNE,서수도,Seosudo,955,2016,9
