wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 14,    0.4,   14.2,    5.0,    8.71,    6.1,   16.2, 1015.7,   19.4,    0.1,01,    4.1,   12.19,   14.3,    2.4,  80,SW,서수도,Seosudo,955,2018,6
 12,    0.3,   14.4,    5.2,    8.70,    5.7,   16.8, 1016.1,   19.1,    0.1,02,    4.2,   12.18,   15.1,    2.2,  76,SW,서수도,Seosudo,955,2018,6
 15,    0.3,   14.7,    5.4,    8.66,    6.1,   17.8, 1013.9,   20.3,    0.1,03,    4.2,   11.91,   15.4,    2.0,  70,NW,서수도,Seosudo,955,2018,6
 17,    0.4,   15.0,    5.3,    8.66,    8.4,   16.5, 1013.5,   19.6,    0.1,04,    4.2,   11.71,   13.7,    3.0,  87,SSE,서수도,Seosudo,955,2018,6
 12,    0.5,   15.1,    5.5,    8.63,    4.7,   18.3, 1012.4,   20.3,    0.1,05,    4.2,   11.34,   16.4,    2.1>,  79,WNW,서수도,Seosudo,955,2018,6
 05,    0.4,   15.4,    5.7,    8.61,    4.8,   17.4, 1013.2,   19.6,    0.1,06,    4.4,   10.96,   15.7,    2.5>,  89,W,서수도,Seosudo,955,2018,6
 05,    0.3,   15.8,    5.2,    8.53,    6.1,   17.0, 1012.8,   20.4,    0.1,07,    4.4,   10.59,   15.8,    1.9,  91,W,서수도,Seosudo,955,2018,6
 01,    0.3,   15.7,    4.7,    8.49,    6.0,   17.1, 1009.8,   19.0,    0.1,08,    4.2,   10.47,   15.1,    2.5,  91,SW,서수도,Seosudo,955,2018,6
 03,    0.3,   15.9,    5.2,    8.54,   12.0,   17.9, 1007.3,   22.5,    0.1,09,    4.2,   10.67,   14.7,    3.1,  91,SE,서수도,Seosudo,955,2018,6
 05,    0.4,   16.2,    5.1,    8.64,   11.4,   19.3, 1004.7,   22.1,    0.1,10,    4.1,   11.04,   16.8,    5.5>,  77,ENE,서수도,Seosudo,955,2018,6
 20,    0.4,   16.2,    5.2,    8.50,    9.8,   18.0, 1001.3,   20.5,    0.1,11,    4.4,   11.24,   16.3,    4.3,  84,NW,서수도,Seosudo,955,2018,6
