wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    0.3, 01,    0.6,   20.8,  86,    7.7,   12.19,    6.1,   19.9, 1015.3,    0.4,   22.0,    0.2,,01,    5.9,   14.55,   18.7,    2.0,  86,ESE,십이동파,Sibidongpa,957,2016,10
,,,,  88,,,   14.8,   21.3, 1010.7,,   24.3,,,02,,,   18.8,    6.8>,  88,SE,십이동파,Sibidongpa,957,2016,10
,,,,  96,,,   14.9,   20.9, 1008.2,,   23.7,,,03,,,   19.2,    6.4,  96,SSE,십이동파,Sibidongpa,957,2016,10
,,,,  80),,,   16.5>,   22.2), 1011.4),,   27.0>,,,04,,,   19.6>,    4.2>,  80),ESE>,십이동파,Sibidongpa,957,2016,10
    0.7, 24,    1.2,   21.1,  88,   13.4,   12.39,   14.6,   19.9, 1008.5,    0.8,   23.0,    0.5,,05,    7.6,   14.53,   18.5,    7.0,  88,N,십이동파,Sibidongpa,957,2016,10
    1.3, 03,    1.7,   21.0,  69,    7.0,   12.31,   13.7,   18.4, 1018.7,    1.2,   20.2,    0.8,,06,    5.8,   14.40,   17.7,    6.4,  69,NNE,십이동파,Sibidongpa,957,2016,10
    0.5, 03,    0.8,   20.8,  85,    6.2,   12.46,   10.1,   18.5, 1016.9,    0.5,   21.5,    0.3,,07,    5.4,   14.37,   15.4,    5.1,  85,SE,십이동파,Sibidongpa,957,2016,10
    0.9, 24,    2.2,   20.6,  77,    6.4,   12.23,   18.1,   17.8, 1011.2,    1.4,   20.6,    0.6,,08,    5.1,   13.63,   15.0,    7.8,  77,NNE,십이동파,Sibidongpa,957,2016,10
    2.0, 03,    3.5,   20.2,  56,    7.5,   12.17,   20.5,   13.5, 1017.6,    2.3,   15.8,    1.3,,09,    6.4,   13.63,   11.9,    8.5,  56,N,십이동파,Sibidongpa,957,2016,10
    0.6, 01,    1.1,   19.9,  51,    5.7,   12.35,    9.9,   14.6, 1018.5,    0.7,   16.9,    0.4,,10,    5.1,   13.59,   12.4,    2.1,  51,ENE,십이동파,Sibidongpa,957,2016,10
    0.2>, 01>,    0.3>,   19.2,  63,    5.5>,   12.24>,    6.3>,   17.0, 1018.4,    0.2>,   19.0>,    0.1>,,11,    4.9>,   13.69>,   15.0>,    2.7>,  63,N>,십이동파,Sibidongpa,957,2016,10
    0.5, 17,    0.8,   18.5,  60,    5.5,   12.26,   12.2,   16.7, 1020.1,,   18.5,,,12,    4.8,   14.02,   15.4,    5.0,  60,NNE,십이동파,Sibidongpa,957,2016,10
    0.4, 03,    0.6,   18.6,  54,    5.3,   12.35,    6.1,   16.8, 1021.0,    0.4,   18.7,    0.2,,13,    4.7,   14.11,   15.4,    1.3,  54,NE,십이동파,Sibidongpa,957,2016,10
    0.2, 24,    0.4,   18.6,  73,    5.7,   12.46,    7.5,   18.1, 1022.5,    0.2,   21.2,    0.1,,14,    4.9,   14.47,   16.1,    2.0,  73,NNE,십이동파,Sibidongpa,957,2016,10
    0.2, 04,    0.3,   18.8,  68,    5.5,   12.57,    6.8,   19.6, 1022.0,    0.2,   23.0,    0.1,,15,    4.9,   14.94,   17.3,    2.2,  68,ESE,십이동파,Sibidongpa,957,2016,10
    0.2, 12,    0.4,   18.6,  94,    7.7,   12.59,   10.9,   17.0, 1016.6,    0.2,   20.8,    0.1,,16,    5.7,   15.22,   15.2,    5.1,  94,ESE,십이동파,Sibidongpa,957,2016,10
    0.4, 24,    0.7,   18.6,  93,    5.6,   12.62,   10.2,   17.6, 1015.9,    0.4,   20.6,    0.2,,17,    4.9,   15.44,   16.6,    4.4,  93,ENE,십이동파,Sibidongpa,957,2016,10
    0.6, 14,    0.9,   18.6,  76,    6.7,   12.71,    8.2,   17.2, 1017.6,    0.6,   19.8,    0.4,,18,    5.2,   15.60,   16.4,    3.0,  76,NNE,십이동파,Sibidongpa,957,2016,10
    0.2, 01,    0.4,   18.8,  88,    7.0,   12.73,    6.1,   17.3, 1016.2,    0.3,   20.4,    0.1,,19,    5.5,   15.39,   16.4,    2.0,  88,NNE,십이동파,Sibidongpa,957,2016,10
    0.2, 22,    0.3,   18.7,  90,    8.4,   12.70,    6.6,   17.8, 1016.4,    0.2,   20.0,    0.1,,20,    6.1,   15.18,   15.3,    2.0,  90,ESE,십이동파,Sibidongpa,957,2016,10
    0.4, 16,    0.6,   18.7,  80,   11.1,   12.83,   12.1,   17.7, 1016.5,    0.4,   19.7,    0.2,,21,    8.4,   15.06,   16.6,    6.0,  80,E,십이동파,Sibidongpa,957,2016,10
    0.5, 08,    0.8,   18.6,  80,   10.8,   12.78,   10.6,   17.4, 1011.5,    0.5,   19.3,    0.3,,22,    9.1,   14.59,   16.2,    4.1,  80,NNE,십이동파,Sibidongpa,957,2016,10
    0.5, 07,    0.8,   18.5,  82,    8.7,   12.77,   15.0,   16.6, 1012.3,    0.6,   20.0,    0.4,,23,    6.8,   14.26,   12.9,    6.2,  82,ESE,십이동파,Sibidongpa,957,2016,10
    0.3, 20,    0.5,   18.5,  80,    6.6,   12.83,   12.3,   15.2, 1014.5,    0.3,   18.1,    0.2,,24,    5.4,   14.03,   13.0,    5.8,  80,ESE,십이동파,Sibidongpa,957,2016,10
    1.4, 18,    2.1,   18.5,  85,    6.1,   12.76,   22.5,   16.5, 1009.6,    1.4,   18.3,    0.9,,25,    5.1,   13.93,   14.8,    9.9,  85,S,십이동파,Sibidongpa,957,2016,10
    0.6, 09,    0.9,   18.5),  77,    5.6,   12.83,   11.3,   16.2, 1017.6,    0.6,   18.5,    0.4,,26,    4.9,   14.17,   15.4,    3.0,  77,NNE,십이동파,Sibidongpa,957,2016,10
