wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 21,    2.4,    6.4,    6.6,   11.12,   15.5,    0.3, 1027.1,    3.5,    0.8,01,    5.0,   13.74,   -1.5,    8.8,  57,N,십이동파,Sibidongpa,957,2017,2
 02,    2.2,    6.3,    6.0,   11.07,   12.7,    0.7, 1028.6,    4.7,    0.7,02,    5.1,   13.63,   -1.9,    3.2,  65,NNE,십이동파,Sibidongpa,957,2017,2
 05,    0.9,    6.4,    5.4,   11.19,    6.8,    3.2, 1024.8,    6.8,    0.4,03,    4.7,   13.49,    1.2,    2.9,  75,ENE,십이동파,Sibidongpa,957,2017,2
 04,    0.6,    6.4,    6.7,   11.14,    9.8,    4.4, 1017.9,    7.7,    0.2,04,    4.8,   13.09,    2.3,    3.6,  72,ENE,십이동파,Sibidongpa,957,2017,2
 19,    2.4,    6.2,    6.1,   10.97,   18.2,    4.7, 1012.3,    7.9,    0.7,05,    5.2,   12.74,    2.8,    7.5,  76,S,십이동파,Sibidongpa,957,2017,2
 04,    4.6,    5.9,    7.7,   10.87,   17.3,    0.7, 1020.6,    3.8,    1.9,06,    6.3,   12.57,   -0.8,   10.7,  63,N,십이동파,Sibidongpa,957,2017,2
 01,    1.9,    5.9,    6.7,   11.10,   10.2,    1.0, 1023.0,    4.6,    0.7,07,    5.7,   13.16,   -0.4,    3.0,  59,N,십이동파,Sibidongpa,957,2017,2
 24,    2.3,    5.8,    5.5,   11.03,   15.7,    1.2, 1017.5,    2.8,    0.6,08,    4.8,   13.34,    0.3,    6.5,  60,N,십이동파,Sibidongpa,957,2017,2
 21,    5.0,    5.6,    7.4,   10.75,   20.0,   -1.9, 1014.6,    1.9,    2.3,09,    6.3,   13.35,   -4.0,   12.6,  73,NE,십이동파,Sibidongpa,957,2017,2
 23,    4.5,    5.5,    7.1,   10.79,   19.3,   -3.2, 1017.1,   -1.6,    2.1,10,    6.3,   13.62,   -5.1,   11.8,  73,N,십이동파,Sibidongpa,957,2017,2
 02,    3.2,    5.3,    7.3,   10.97,   17.0,   -1.0, 1023.0,    1.4,    1.6,11,    5.9,   13.96,   -3.4,    9.9,  66,N,십이동파,Sibidongpa,957,2017,2
 01,    1.9,    5.2,    5.7,   11.17,   12.0,    1.1), 1027.1,    5.4,    0.7,12,    4.9,   14.14,   -0.4,    3.9,  62,S,십이동파,Sibidongpa,957,2017,2
 02,    1.3,    5.2,    5.1,   11.27,   10.0,    3.5], 1028.2,    7.0,    0.4,13,    4.4,   14.23,    1.4,    4.9,  81,SSE,십이동파,Sibidongpa,957,2017,2
 03,    1.8,    5.2,    5.0,   11.15,   12.5,    2.5, 1031.0,    4.9,    0.7,14,    4.6,   13.93,    1.7,    5.7,  58,N,십이동파,Sibidongpa,957,2017,2
 03,    1.0,    5.3,    4.8,   11.19,    5.9,    3.1, 1027.8,    5.3,    0.3,15,    4.4,   13.76,    1.1,    2.4,  81,E,십이동파,Sibidongpa,957,2017,2
 16,    1.9,    5.3,    5.1,   11.17,   15.1,    7.1, 1017.3,   11.8,    0.7,16,    4.6,   13.43,    3.1,    9.1,  86,ESE,십이동파,Sibidongpa,957,2017,2
 10,    4.7,    5.3,    7.7,   10.93,   15.9,    1.4, 1020.6,    9.7,    1.6,17,    6.1,   13.02,   -1.0,   10.7,  71,N,십이동파,Sibidongpa,957,2017,2
 01,    2.2,    5.1,    5.9,   11.07,   15.0,    0.2, 1024.5,    3.2,    0.8,18,    5.2,   12.79,   -1.7,    6.6,  56,N,십이동파,Sibidongpa,957,2017,2
,,,,,   19.0,    4.7, 1013.1,    9.4,,19,,,    0.7,    9.3,  72,ESE,십이동파,Sibidongpa,957,2017,2
,,,,,   19.5,    0.2, 1016.3,    8.5,,20,,,   -2.4,   11.9,  71,N,십이동파,Sibidongpa,957,2017,2
,,,,,    8.0,    0.4, 1026.8,    4.6,,21,,,   -2.8,    2.2,  58,NNE,십이동파,Sibidongpa,957,2017,2
,,,,,   17.9,    3.2, 1012.3,    5.7,,22,,,    1.1,    8.8,  83,N,십이동파,Sibidongpa,957,2017,2
,,,,,   17.5,    0.4, 1018.1,    2.6,,23,,,   -0.7,   12.4,  62,N,십이동파,Sibidongpa,957,2017,2
 01,    2.1,    4.6,    6.9,   11.09,   12.6,    1.5], 1023.0,    5.1,    0.9,24,    5.5,   13.37,   -0.9,    5.5,  58,N,십이동파,Sibidongpa,957,2017,2
 12,    1.6,    4.7,    5.5,   11.12,   10.3,    4.2, 1020.7,    7.7,    0.7,25,    4.9,   13.70,    2.6,    3.9,  71,SSE,십이동파,Sibidongpa,957,2017,2
 01,    1.4,    4.9,    5.0,   11.09,   10.5,    4.0, 1022.9,    7.6,    0.6,26,    4.4,   13.89,    2.4,    4.3,  70,NNE,십이동파,Sibidongpa,957,2017,2
 01,    0.8,    4.9,    4.9,   11.16,    6.0,    4.0, 1025.1,    6.8,    0.2,27,    4.3,   14.12,    2.6,    2.5,  65,S,십이동파,Sibidongpa,957,2017,2
 14>,    1.1>,    5.0,    5.1>,   11.21>,    5.7>,    4.6, 1022.8,    7.2>,    0.3>,28,    4.5>,   14.16>,    2.3>,    3.3>,  67,ESE>,십이동파,Sibidongpa,957,2017,2
,    2.3,    5.5,    6.1,   11.07,,    2.0, 1021.6,    5.6,    0.9,월,    5.1,   13.53,    0.0,    6.7,  68,,십이동파,Sibidongpa,957,2017,2
