wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    0.7, 16,    1.1,   22.9,  87,    5.7,    7.97,    7.5,   20.4, 1018.5,    0.7,   22.1,    0.5,,01,    4.8,    8.11,   18.1,    3.5,  87,N,이덕서,Idukseo,963,2016,10
    0.4, 03,    0.8,   23.1,  87,    4.8,    7.94,    4.2,   22.4, 1016.2,    0.5,   24.5,    0.3,,02,    4.4,    8.10,   20.0,    1.5,  87,SSW,이덕서,Idukseo,963,2016,10
    0.3, 11,    0.5,   23.0,  88,    4.5,    7.89,   13.9,   24.4, 1010.2,    0.3,   26.4,    0.2,,03,    4.1,    8.02,   22.2,    5.3,  88,SW,이덕서,Idukseo,963,2016,10
    1.0, 24,    2.5,   23.1,  79,    5.8,    7.99,   15.5,   22.9, 1016.2,    1.7,   25.3,    0.7,,04,    4.6,    8.14,   21.1,    8.2,  79,NNE,이덕서,Idukseo,963,2016,10
    3.8, 12,    7.1,   23.1,  82,    7.8,    7.94,   42.5,   22.0, 1007.0,    4.8,   32.9,    2.6,,05,    6.5,    8.18,    8.3,   10.7>,  82,NNW,이덕서,Idukseo,963,2016,10
    1.6, 01,    2.6,   23.0,  72,    7.5,    8.04,   10.7,   21.9, 1020.3,    1.8,   25.0,    1.0,,06,    6.1,    8.19,   19.4,    4.8,  72,E,이덕서,Idukseo,963,2016,10
    2.4, 05,    2.9,   22.8,  71,    6.8,    7.93,   13.0,   20.9, 1021.3,    2.0,   23.3,    1.6,,07,    5.8,    8.09,   18.5,    6.9,  71,E,이덕서,Idukseo,963,2016,10
    1.0, 02,    1.8,   22.7,  80,    6.5,    7.85,   10.3,   19.9, 1011.0,    1.2,   24.1,    0.7,,08,    5.7,    7.96,   17.3,    3.5,  80,NW,이덕서,Idukseo,963,2016,10
    1.1, 15,    3.0,   22.4,  59,    7.9,    7.98,   17.4,   16.4, 1017.0,    2.0,   18.1,    0.7,,09,    5.8,    8.05,   14.0,    8.6,  59,NW,이덕서,Idukseo,963,2016,10
    2.0, 03,    2.8,   22.2,  61,    8.0,    7.95,   10.9,   17.8, 1020.2,    2.0,   19.0,    1.4,,10,    6.3,    8.06,   14.9,    5.9,  61,ENE,이덕서,Idukseo,963,2016,10
    1.1, 02,    1.4,   21.9,  68,    5.7,    7.90,    7.6,   17.8, 1019.6,    0.9,   20.2,    0.7,,11,    5.3,    7.97,   16.0,    2.9,  68,E,이덕서,Idukseo,963,2016,10
    0.9, 23,    1.7,   21.8,  61,    5.9,    7.94,   11.9,   19.0, 1021.3,    1.1,   20.5,    0.6,,12,    4.9,    8.02,   16.6,    5.3,  61,NE,이덕서,Idukseo,963,2016,10
    1.2, 01,    1.5,   21.6,  74,    6.1,    7.94,    5.7,   18.5, 1022.8,    1.0,   21.0,    0.8,,13,    5.3,    8.10,   16.3,    2.2,  74,NW,이덕서,Idukseo,963,2016,10
    0.4, 01,    0.7,   21.3,  66,    5.0,    7.94,    5.1,   18.5, 1025.1,    0.5,   21.1,    0.3,,14,    4.5,    8.07,   14.9,    3.2>,  66,NE,이덕서,Idukseo,963,2016,10
    0.6, 23,    1.1,   20.9,  70,    4.6,    7.92,    7.3,   19.7], 1025.9,    0.7,   21.2,    0.4,,15,    4.2,    8.10,   16.5,    4.1>,  70,NE,이덕서,Idukseo,963,2016,10
    0.8, 02,    1.1,   20.2,  91,    5.1,    7.89,    9.7,   17.8, 1020.3,    0.7,   20.7,    0.5,,16,    4.6,    8.09,   17.1,    2.5,  91,SSW,이덕서,Idukseo,963,2016,10
    0.5, 05,    0.7,   19.1,  84,    4.7,    7.90,    5.8,   20.1, 1016.5,    0.4,   22.6,    0.3,,17,    4.4,    8.10,   17.7,    1.7,  84,WNW,이덕서,Idukseo,963,2016,10
    0.5, 23,    1.1,   19.4,  74,    5.3,    7.97,    7.7,   19.9, 1019.8,    0.7,   21.9,    0.3,,18,    4.7,    8.17,   16.5,    4.4,  74,NE,이덕서,Idukseo,963,2016,10
    1.2, 05,    1.7,   19.7,  78,    6.5,    7.90,    6.2,   19.3, 1017.8,    1.1,   21.4,    0.8,,19,    5.8,    8.10,   17.2,    2.8,  78,ENE,이덕서,Idukseo,963,2016,10
    1.3, 22,    4.4,   19.6,  70,    6.7,    7.94,   15.9,   19.8, 1019.4,    2.9,   22.3,    0.9,,20,    5.3,    8.11,   16.5,    7.1,  70,ENE,이덕서,Idukseo,963,2016,10
    3.5, 06,    4.5,   20.8,  66,    7.2,    7.94,   14.9,   18.1, 1021.4,    3.1,   23.3,    2.4,,21,    6.6,    8.10,   12.2,    9.0,  66,ENE,이덕서,Idukseo,963,2016,10
    1.5, 03,    2.1,   20.5,  68,    6.0,    7.96,   12.6,   19.0], 1014.9,    1.4,   22.2,    1.0,,22,    5.4,    8.07,   14.4,    6.7,  68,NE,이덕서,Idukseo,963,2016,10
    3.0>, 11>,    4.2>,   20.3),  70),    6.8>,    8.00>,   20.4,   16.9, 1016.1),    2.8>,   22.4>,    2.0>,,23,    6.0>,    8.14>,,   13.3,  70),NE,이덕서,Idukseo,963,2016,10
    2.0, 04,    2.8,   20.4,  58,    6.8,    7.94,   14.1,   16.8, 1019.0,    1.9,   18.8,    1.3,,24,    6.0,    8.02,   14.3,    6.3,  58,NE,이덕서,Idukseo,963,2016,10
    1.2, 02,    1.6,   20.3,  77,    6.0,    7.94,   16.5,   18.8, 1012.3,    1.1,   26.0,    0.8,,25,    5.4,    8.03,   15.6,    5.3,  77,SW,이덕서,Idukseo,963,2016,10
    0.6, 13,    0.8,   20.3,  73,    5.4,    7.99,    8.4,   18.2, 1018.4,    0.5,   21.4,    0.4,,26,    4.9,    8.09,   15.0,    2.9>,  73,N,이덕서,Idukseo,963,2016,10
    1.7, 16,    3.0,   20.7,  67,    6.7,    7.98,   14.1,   18.1), 1023.5,    2.0,   20.7,    1.2,,27,    5.3,    8.11,   16.0,    7.8,  67,ENE,이덕서,Idukseo,963,2016,10
    1.9, 11,    2.7,   20.4,  83,    6.3,    7.87,   10.9,   16.6, 1015.2,    1.8,   18.5,    1.3,,28,    5.8,    8.00,   15.4,    7.0,  83,N,이덕서,Idukseo,963,2016,10
