wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 15,    4.0,   19.7,    9.2,    7.94,   16.2,    8.9, 1026.8,   12.3,    1.3,01,    7.0,    8.11,    4.9,    6.6,  41,NW,이덕서,Idukseo,963,2016,11
 03,    1.9,   19.2,    7.9,    7.93,   12.1,    9.3, 1025.3,   12.9,    0.9,02,    6.6,    8.06,    5.8,    5.7,  34,NW,이덕서,Idukseo,963,2016,11
 01,    0.7,   19.0,    7.0,    7.91,    8.8,   11.9, 1022.6,   15.6,    0.3,03,    5.8,    8.07,    7.1,    3.4,  56,WNW,이덕서,Idukseo,963,2016,11
 08,    1.0,   18.7,    7.1,    7.92,   13.7,   14.7, 1017.3,   17.8,    0.4,04,    5.8,    8.05,   10.4,    5.2,  48,SSW,이덕서,Idukseo,963,2016,11
 01,    0.5,   18.5,    6.0,    7.91,    8.6,   16.4, 1014.3,   21.6,    0.2,05,    4.6,    8.10,   12.0,    2.9,  61,WSW,이덕서,Idukseo,963,2016,11
 11,    4.4,   18.4,    7.2,    8.03,   17.7,   15.4, 1025.2,   18.0,    2.0,06,    6.1,    8.17,   12.1,   10.0,  73,NNE,이덕서,Idukseo,963,2016,11
 01,    3.4,   19.3,    7.0,    7.89,   12.3,   15.3, 1024.1,   17.7,    1.6,07,    6.3,    8.02,   13.2,    4.4,  65,SE,이덕서,Idukseo,963,2016,11
 20>,    3.8>,   19.5],    8.4>,    7.90>,   15.8>,   12.4], 1020.9],   16.3>,    1.0>,08,    7.0>,    7.99>,    7.7>,    6.0>,  56],NW>,이덕서,Idukseo,963,2016,11
 07,    4.1,   19.2,    8.6,    7.90,   15.6,   10.4, 1026.6,   18.5,    2.0,09,    7.2,    8.01,    6.3,    8.1,  59,N,이덕서,Idukseo,963,2016,11
 18,    2.5,   19.0,    6.8,    7.92,   11.0,   12.7, 1021.1,   16.9,    1.3,10,    6.2,    8.02,   10.5,    5.2,  66,E,이덕서,Idukseo,963,2016,11
 02,    2.2,   19.0,    9.7,    7.94,    8.4,   13.0, 1019.1,   16.7,    1.0,11,    7.9,    8.06,    9.3,    3.3,  61,WNW,이덕서,Idukseo,963,2016,11
 01,    1.1,   18.4,    8.5,    8.02,   13.3,   15.1, 1023.2,   18.5,    0.6,12,    7.6,    8.17,   10.5,    4.4,  59,SSW,이덕서,Idukseo,963,2016,11
 03,    0.6,   18.3,    7.6,    7.98,    7.6,   16.2, 1022.9,   18.2,    0.3,13,    6.4,    8.16,   12.6,    2.4,  75,W,이덕서,Idukseo,963,2016,11
 16,    2.1,   18.0,    5.7,    7.92,   11.6,   17.8, 1016.0,   20.2,    0.7,14,    4.7,    8.10,   16.0,    2.7,  81,SSW,이덕서,Idukseo,963,2016,11
 16,    1.9,   17.7,    6.9,    7.96,   13.6,   15.5, 1017.6,   19.0,    0.5,15,    5.2,    8.17,   12.0,    5.9,  59,NE,이덕서,Idukseo,963,2016,11
 11,    2.0,   17.6,    7.4,    7.97,    9.8,   14.1, 1021.6,   17.7,    1.0,16,    6.5,    8.14,   10.8,    3.4,  47,NNW,이덕서,Idukseo,963,2016,11
 17,    1.5,   17.8,    6.7,    7.97,    9.9,   13.4, 1024.4,   15.6,    0.6,17,    5.7,    8.15,   10.6,    5.1,  56,NNE,이덕서,Idukseo,963,2016,11
 06,    1.1,   17.8,    5.8,    7.90,    8.2,   15.1, 1019.4,   18.5,    0.6,18,    5.3,    8.05,   12.4,    3.0,  81,N,이덕서,Idukseo,963,2016,11
 09,    1.3,   18.1,    5.7,    7.94,    9.3,   17.0, 1013.3,   20.5,    0.5,19,    5.2,    8.07,   13.4,    3.2,  82,SW,이덕서,Idukseo,963,2016,11
 19,    1.9,   18.2,    5.6,    8.00,   12.6,   16.7, 1020.0,   18.8,    0.5,20,    4.8,    8.13,   14.9,    5.4,  65,NNE,이덕서,Idukseo,963,2016,11
 03,    2.1,   18.2,    7.0,    7.95,    7.8,   15.5, 1018.3,   17.3,    1.0,21,    5.9,    8.08,   13.9,    4.7,  70,NE,이덕서,Idukseo,963,2016,11
 23,    2.7,   17.8,    7.9,    7.93,   19.2,   11.8, 1018.2,   15.1,    1.0,22,    6.3,    8.01,    7.5,    6.5,  59,NW,이덕서,Idukseo,963,2016,11
 07,    3.6,   17.7,    7.6,    7.96,   17.4,    8.7, 1021.9,   12.2,    2.0,23,    6.9,    8.07,    5.8,    9.6,  59,NW,이덕서,Idukseo,963,2016,11
 17,    3.5,   17.5,    8.0,    7.90,   20.9,    4.5, 1023.1,    8.5,    1.7,24,    7.2,    7.99,    1.1,    9.4,  29,NW,이덕서,Idukseo,963,2016,11
 02,    2.0,   17.2,    7.6,    7.97,   18.1,    6.0, 1026.2,    9.3,    0.9,25,    6.6,    8.05,    2.5,    7.0,  39,NW,이덕서,Idukseo,963,2016,11
 09,    1.5,   17.5,    7.0,    7.93,    7.1,    8.1, 1023.7,   11.0,    0.7,26,    6.5,    8.05,    4.8,    3.7,  60,NW,이덕서,Idukseo,963,2016,11
 10,    0.9,   17.4,    5.9,    7.92,   17.4,    9.0, 1020.0,   11.1,    0.4,27,    5.3,    8.06,    7.2,    6.5,  58,NW,이덕서,Idukseo,963,2016,11
 14,    1.1,   17.1,    6.0,    7.96,   14.9,    7.4, 1025.6,   10.7,    0.4,28,    5.5,    8.13,    4.9,    4.4,  50,WNW,이덕서,Idukseo,963,2016,11
 09,    2.1,   17.1,    7.0,    8.02,   13.9,    9.4, 1031.3,   13.3,    1.0,29,    6.1,    8.19,    4.5,    7.0,  49,NNE,이덕서,Idukseo,963,2016,11
 10,    3.5,   17.3,    6.3,    7.91,   12.7,   12.8, 1025.7,   14.3,    1.5,30,    5.8,    8.07,   10.9,    6.2,  74,E,이덕서,Idukseo,963,2016,11
,    2.2,   18.2,    7.2,    7.94,,   12.5, 1021.9,   15.8,    0.9,월,    6.1,    8.08,    9.2,    5.4,  59,,이덕서,Idukseo,963,2016,11
