wh_max,wh_max_hh,wh_max_,tw,hm,wp_,ls,gt,ta,pa,wh_sig_,ta_,wh_sig,tw__,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
    0.4, 01,    0.6,   25.5,  79,    7.0,   15.60,   13.1,   25.6, 1004.9,    0.4,   29.0,    0.3,,01,    6.2,   16.79,   22.1,    5.1,  79,SW,지귀도,Jigwido,960,2016,9
    0.5, 24,    0.6,   24.9,  87,    6.5,   15.60,   13.8,   23.4, 1005.6,    0.4,   24.9,    0.3,,02,    6.0,   16.73,   21.9,    4.5,  87,SSW,지귀도,Jigwido,960,2016,9
    0.8, 22,    1.5,   24.4,  82,    9.7,   15.58,    9.3,   24.9, 1008.0,    1.0,   27.0,    0.6,,03,    7.2,   16.67,   22.9,    3.5,  82,ESE,지귀도,Jigwido,960,2016,9
    0.8, 02,    1.2,   24.4,  73,    9.9,   15.58,   12.3,   26.8, 1009.7,    0.9,   30.1,    0.5,,04,    7.2,   16.53,   24.8,    5.7,  73,ENE,지귀도,Jigwido,960,2016,9
    0.5, 01,    1.0,   24.0,  81,    6.2,   15.59,    9.2,   26.5, 1010.6,    0.6,   30.8,    0.3,,05,    5.8,   16.43,   24.7,    2.7,  81,E,지귀도,Jigwido,960,2016,9
    0.2, 01,    0.4,   23.1,  75,    6.6,   15.57,    4.9,   25.4, 1009.1,    0.2,   28.3,    0.1,,06,    6.1,   16.34,   23.2,    1.7,  75,WNW,지귀도,Jigwido,960,2016,9
    0.3, 12,    0.4,   24.0,  71,    8.3,   15.59,    5.6,   25.2, 1006.5,    0.2,   28.2,    0.2,,07,    7.6,   16.25,   23.5,    1.9,  71,NW,지귀도,Jigwido,960,2016,9
    0.2, 01,    0.3,   24.2,  64,    7.7,   15.62,    8.7,   25.3, 1008.1,    0.2,   28.7,    0.1,,08,    7.0,   16.13,   22.8,    2.6,  64,NW,지귀도,Jigwido,960,2016,9
    0.2, 22,    0.3,   24.1,  66,    7.6,   15.63,    7.6,   25.3, 1010.6,    0.2,   28.6,    0.1,,09,    6.8,   16.02,   22.6,    2.4,  66,SE,지귀도,Jigwido,960,2016,9
    0.4, 05,    0.5,   24.4,  70,    8.8,   15.63,    5.9,   24.7, 1012.2,    0.4,   28.4,    0.3,,10,    8.0,   16.01,   22.2,    2.7,  70,ESE,지귀도,Jigwido,960,2016,9
    0.6, 20,    0.8,   25.1,  76,    8.0,   15.62,   11.1,   25.1, 1014.0,    0.5,   27.2,    0.4,,11,    6.3,   16.11,   23.7,    6.3,  76,ESE,지귀도,Jigwido,960,2016,9
    1.3, 19,    1.9,   26.0,  75,    6.7,   15.65,   14.3,   23.2, 1015.7,    1.3,   25.9,    0.9,,12,    5.9,   16.34,   20.2,    7.9,  75,ENE,지귀도,Jigwido,960,2016,9
    1.0, 02,    1.2,   25.7,  71,    6.9,   15.66,   12.8,   24.4, 1017.6,    0.8,   26.6,    0.6,,13,    6.3,   16.52,   23.0,    7.4,  71,ESE,지귀도,Jigwido,960,2016,9
    1.0, 10,    1.3,   25.7,  74,    8.1,   15.63,   11.3,   24.4, 1017.6,    0.9,   26.7,    0.7,,14,    6.8,   16.66,   23.2,    6.9,  74,E,지귀도,Jigwido,960,2016,9
    0.8, 21,    1.1,   24.9,  75,    9.1,   15.63,    9.9,   24.3, 1016.4,    0.7,   26.6,    0.5,,15,    8.0,   16.80,   22.6,    6.0,  75,ESE,지귀도,Jigwido,960,2016,9
    0.7, 23,    1.0,   24.2,  80,    8.4,   15.61,   11.9,   25.2, 1013.4,    0.6,   26.6,    0.4,,16,    6.3,   16.89,   22.7,    7.0,  80,SE,지귀도,Jigwido,960,2016,9
    0.7, 01,    1.0,   22.7,  88,    9.1,   15.59,   16.6,   25.9, 1007.9,    0.7,   28.1,    0.5,,17,    6.4,   16.82,   24.1,    5.2,  88,WSW,지귀도,Jigwido,960,2016,9
    0.9, 24,    1.9,   22.1,  86,   10.2,   15.57,   16.4,   24.5, 1007.7,    1.3,   27.0,    0.6,,18,    8.0,   16.92,   22.3,    5.0,  86,ENE,지귀도,Jigwido,960,2016,9
    2.3, 24,    3.8,   23.9,  81,    8.1,   15.67,   21.6,   22.3, 1007.7,    2.6,   23.5,    1.6,,19,    6.8,   16.95,   20.7,   12.7,  81,ENE,지귀도,Jigwido,960,2016,9
,,,,  59,,,   13.5,   22.1, 1014.6,,   28.0,,,20,,,   17.2,    8.0,  59,ENE,지귀도,Jigwido,960,2016,9
,,,,  62,,,   12.8,   22.1, 1019.5,,   24.5,,,21,,,   19.6,    7.1,  62,ESE,지귀도,Jigwido,960,2016,9
,,,,  61,,,    9.9,   22.8, 1017.8,,   27.2,,,22,,,   20.4,    4.4,  61,ENE,지귀도,Jigwido,960,2016,9
,,,,  71,,,   11.1,   22.3, 1016.9,,   25.6,,,23,,,   19.8,    5.1,  71,ESE,지귀도,Jigwido,960,2016,9
,,,,  77,,,   11.7,   22.8, 1015.8,,   25.7,,,24,,,   21.4,    7.0,  77,ESE,지귀도,Jigwido,960,2016,9
,,,,  81,,,   11.4,   23.8, 1015.6,,   26.5,,,25,,,   22.2,    6.5,  81,ESE,지귀도,Jigwido,960,2016,9
,,,,  88,,,    8.9,   24.8, 1015.3,,   27.1,,,26,,,   20.3,    5.1,  88,E,지귀도,Jigwido,960,2016,9
,,,,  89,,,    9.6,   24.9, 1014.8,,   26.5,,,27,,,   23.0,    4.7,  89,ESE,지귀도,Jigwido,960,2016,9
,,,,,,,   11.7,   24.1, 1012.9,,   24.9,,,28,,,   23.2,    6.8,,ENE,지귀도,Jigwido,960,2016,9
,,,,  85,,,   13.5,   22.4, 1014.8,,   23.9,,,29,,,   20.7,    8.8,  85,ENE,지귀도,Jigwido,960,2016,9
,,,,  75,,,   13.2,   22.1, 1014.0,,   24.2,,,30,,,   21.1,    8.1,  75,ENE,지귀도,Jigwido,960,2016,9
,,,,  76,,,,   24.2, 1012.5,,   26.9,,,월,,,   22.1,    5.6,  76,,지귀도,Jigwido,960,2016,9
