wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
 23>,    0.3>,   18.9,    7.2,   15.38,    7.7,   24.4, 1010.0,   27.6,    0.1,01,    6.7,   16.02,   22.7,    4.1,  97,WNW,지귀도,Jigwido,960,2017,7
 15,    0.3,   18.7,    6.8,   15.41,    8.0,   25.3, 1010.7,   27.9,    0.1,02,    5.9,   15.88,   23.4,    2.8,  95,SW,지귀도,Jigwido,960,2017,7
 01,    0.3,   18.4,    6.3,   15.40,    6.8,   25.4, 1010.0,   27.9,    0.2,03,    6.0,   15.84,   23.7,    2.5,  96,W,지귀도,Jigwido,960,2017,7
 09,    0.9,   18.4,   11.3,   15.40,   10.9,   25.2, 1008.3,   27.9,    0.3,04,    7.8,   15.92,   22.9,    5.0,  96,W,지귀도,Jigwido,960,2017,7
 01,    0.4,   19.4,    7.1,   15.41,    7.6,   25.7, 1011.4,   29.3,    0.2,05,    6.3,   16.09,   23.6,    3.5,  96,WNW,지귀도,Jigwido,960,2017,7
 16,    0.3,   19.9,    6.1,   15.39,    7.2,   26.0, 1011.5,   29.1,    0.1,06,    5.8,   16.22,   24.1,    3.2,  97,WSW,지귀도,Jigwido,960,2017,7
 12,    0.4,   20.0,    6.5,   15.36,    7.9,   26.2, 1010.4,   29.3,    0.2,07,    5.8,   16.26,   24.6,    3.1,  94,W,지귀도,Jigwido,960,2017,7
 01,    0.4,   19.2,    6.8,   15.34,    9.5,   25.3, 1009.6,   27.4,    0.2,08,    6.3,   16.38,   23.0,    3.6,  94,E,지귀도,Jigwido,960,2017,7
 01,    0.4,   19.7,    6.9,   15.36,    7.7,   26.5, 1008.3,   29.3,    0.2,09,    6.5,   16.50,   23.2,    3.7,  94,WNW,지귀도,Jigwido,960,2017,7
 15,    0.7,   20.1,    7.4,   15.36,   10.7,   26.0, 1005.9,   28.0,    0.3,10,    6.8,   16.48,   23.9,    4.9,  93,WNW,지귀도,Jigwido,960,2017,7
 01,    0.6,   20.3,    7.3,   15.37,   11.3,   24.1, 1009.7,   26.5,    0.3,11,    6.5,   16.58,   22.1,    3.2,  94,WNW,지귀도,Jigwido,960,2017,7
 01,    0.3,   22.1,    6.9,   15.40,    5.4,   26.0, 1011.2,   30.1,    0.2,12,    6.3,   16.49,   23.2,    2.1,  88,W,지귀도,Jigwido,960,2017,7
,,   21.3,    7.9,   15.36,    5.5,   27.0, 1009.3,   30.9,,13,    6.5,   16.44,   24.2,    1.8,  87,WNW,지귀도,Jigwido,960,2017,7
 03,    0.2,   21.2,    7.8,   15.36,    6.5,   27.8, 1009.8,   31.5,,14,    6.3,   16.36,   25.5,    4.0,  90,WNW,지귀도,Jigwido,960,2017,7
 04,    0.3,   20.4,    6.7,   15.37,    7.4,   27.4, 1012.2,   31.1,    0.2>,15,    5.9,   16.28,   25.7,    3.9,  92,WNW,지귀도,Jigwido,960,2017,7
 04,    0.4,   20.3,    6.7,   15.38,    6.4,   27.4, 1014.1,   31.1,    0.2,16,    6.1,   16.16,   25.2,    3.7,  92,WNW,지귀도,Jigwido,960,2017,7
 06>,    0.3>,   20.5,    6.3,   15.39,    8.1,   27.1, 1014.0,   29.4,    0.1>,17,    5.9,   16.04,   25.4,    5.1,  91,WNW,지귀도,Jigwido,960,2017,7
 09,    0.3,   20.8,    6.5,   15.39,    9.5,   26.2, 1011.2,   27.9,    0.1,18,    5.9,   15.97,   23.5,    4.0,  94,WNW,지귀도,Jigwido,960,2017,7
 09,    0.3,   22.8,    6.6,   15.40,    5.0,   27.1, 1007.9,   31.0,    0.1,19,    6.3,   16.12,   23.5,    1.8,  88,SSE,지귀도,Jigwido,960,2017,7
 08,    0.3,   23.1,    6.4,   15.39,    7.6,   28.6, 1008.5,   32.8,    0.1,20,    6.1,   16.30,   26.1,    3.0,  89,W,지귀도,Jigwido,960,2017,7
 16,    0.3,   21.1,    6.7,   15.37,    9.1,   28.5, 1010.5,   30.9,    0.1,21,    5.9,   16.54,   26.7,    5.5,  90,W,지귀도,Jigwido,960,2017,7
 01,    0.4,   21.1,    6.3,   15.37,    6.8,   28.0, 1011.2,   31.3,    0.1,22,    5.7,   16.72,   26.3,    4.8,  86,NW,지귀도,Jigwido,960,2017,7
,,   21.6,    6.0,   15.35,    9.0,   27.4, 1007.5,   30.2,    0.1,23,    5.6,   16.82,   25.4,    5.1,  92,WNW,지귀도,Jigwido,960,2017,7
 15,    0.3,   22.2,    6.5,   15.34,    9.4,   28.0, 1004.5,   31.7,    0.1,24,    5.7,   16.83,   26.0,    5.5,  90,WNW,지귀도,Jigwido,960,2017,7
 19,    0.3,   22.4,    9.0,   15.35,   10.0,   28.7, 1003.7,   32.8,    0.1,25,    6.8,   16.75,   26.6,    5.3,  85,W,지귀도,Jigwido,960,2017,7
 23,    1.7,   26.3,    8.4,   15.41,   13.2,   27.2, 1006.3,   28.8,    0.6,26,    6.1,   16.71,   25.7,    7.7,  90,ENE,지귀도,Jigwido,960,2017,7
 01,    1.3,   23.4,    6.8,   15.38,   10.9,   27.4, 1008.1,   29.7,    0.5,27,    6.0,   16.66,   25.5,    5.9,  87,ESE,지귀도,Jigwido,960,2017,7
 01,    0.6,   22.1,    8.3,   15.36,    4.4,   28.2, 1008.8,   31.9,    0.2,28,    6.1,   16.41,   25.6,    2.5,  85,ENE,지귀도,Jigwido,960,2017,7
 22,    0.5,   21.1,   11.0,   15.37,    5.2,   28.8, 1007.6,   32.0,    0.2,29,    8.7,   16.17,   26.4,    2.5,  81,ENE,지귀도,Jigwido,960,2017,7
 17,    1.3,   22.3,   11.5,   15.42,   10.3,   28.9, 1007.1,   31.9,    0.6,30,    9.0,   16.07,   27.5,    5.5,  81,SSE,지귀도,Jigwido,960,2017,7
 01,    0.8,   22.2,    8.8,   15.42,   15.0,   28.2, 1008.2,   31.2,    0.4,31,    7.3,   15.84,   25.1,    4.0,  90,E,지귀도,Jigwido,960,2017,7
,    0.5,   21.0,    7.4,   15.38,,   26.9, 1009.3,   29.9,    0.2,월,    6.4,   16.32,   24.7,    4.0,  91,,지귀도,Jigwido,960,2017,7
