wh_max_hh,wh_max_,tw,wp_,ls,gt,ta,pa,ta_,wh_sig,tm,wp,ls_,ta__,ws,tw_,gt_wd,stn_ko,stn_en,stn_id,year,month
,,,,,   11.0,   11.7, 1025.9,   14.4,,01,,,    9.2,    4.4,  52,SE,해수서,Haesuseo,959,2018,12
,,,,,   15.5,   14.0, 1021.0,   16.0,,02,,,   12.2,    9.1,  77,ESE,해수서,Haesuseo,959,2018,12
,,,,,    9.6,   15.1, 1017.2,   16.8,,03,,,   13.8,    2.8,  97,SE,해수서,Haesuseo,959,2018,12
,,,,,   19.8,   11.3, 1019.5,   14.9,,04,,,    8.6,    9.7,  75,NE,해수서,Haesuseo,959,2018,12
,,,,,   15.9,    6.9, 1024.7,    9.1,,05,,,    4.6,    8.3,  52,N,해수서,Haesuseo,959,2018,12
,,,,,   18.8>,    7.2, 1022.9,    9.9>,,06,,,    5.4>,    8.4>,  71,NNE>,해수서,Haesuseo,959,2018,12
,,,,,   21.9,    2.0, 1031.1,    8.6,,07,,,   -1.0,   10.3,  71,N,해수서,Haesuseo,959,2018,12
,,,,,   17.7,    0.7, 1032.6,    5.6,,08,,,   -0.8,    6.2,  72,NNW,해수서,Haesuseo,959,2018,12
,,,,,   14.3>,    0.4, 1034.6,    2.6>,,09,,,   -1.6>,    6.4>,  58,NE>,해수서,Haesuseo,959,2018,12
,,,,,   18.1,    3.7, 1031.8,    6.2,,10,,,    0.5,    7.0,  40,NE,해수서,Haesuseo,959,2018,12
,,,,,   14.5,    5.4, 1026.4,    7.0,,11,,,    3.7,    7.1,  74,NNE,해수서,Haesuseo,959,2018,12
,,,,,   15.3,    5.0, 1029.5,    6.9,,12,,,    3.9,    8.6,  61,NNE,해수서,Haesuseo,959,2018,12
,,,,,   15.8,    6.5, 1030.5,    8.5,,13,,,    4.6,    9.0,  54,N,해수서,Haesuseo,959,2018,12
 01,    0.0,  -10.0,    0.0,    0.00,   14.9,    4.0, 1034.4,    5.7,    0.0,14,    0.0,    0.00,    2.7,    8.2,  59,N,해수서,Haesuseo,959,2018,12
 01,    0.0,  -10.0,    0.0,    0.00,   12.1,    5.0, 1031.5,    8.2,    0.0,15,    0.0,    0.00,    2.3,    3.7,  53,NNE,해수서,Haesuseo,959,2018,12
 01,    0.0,  -10.0,    0.0,    0.00,    9.7,    7.2, 1021.4,   10.1,    0.0,16,    0.0,    0.00,    5.1,    2.4,  72,NNW,해수서,Haesuseo,959,2018,12
,,,,,   16.0,    9.3), 1020.6,   10.5,,17,,,    8.2,   10.2,  47,NW,해수서,Haesuseo,959,2018,12
,,,,,   11.5,    9.2, 1022.7,   11.4,,18,,,    7.6,    5.3,  50,NNW,해수서,Haesuseo,959,2018,12
,,,,,    9.4,   12.3, 1021.7,   14.0,,19,,,   10.8,    3.7,  69,W,해수서,Haesuseo,959,2018,12
,,,,,    9.7,   11.8, 1021.8,   14.7,,20,,,   10.6,    2.7,  85,NW,해수서,Haesuseo,959,2018,12
,,,,,    9.1,   12.3, 1021.8,   15.4,,21,,,   10.7,    3.8,  72,E,해수서,Haesuseo,959,2018,12
,,,,,    9.1,   10.5, 1022.4,   12.9,,22,,,    9.1,    4.1,  72,NNE,해수서,Haesuseo,959,2018,12
,,,,,   17.5,    7.7, 1025.1,   10.8,,23,,,    5.4,    9.4,  61,N,해수서,Haesuseo,959,2018,12
,,,,,   15.8,    4.7, 1027.6,    6.8,,24,,,    3.3,    7.2,  58,N,해수서,Haesuseo,959,2018,12
,,,,,   12.2,    5.2, 1024.2,    7.9,,25,,,    2.6,    4.4,  62,NNE,해수서,Haesuseo,959,2018,12
,,,,,   18.9,    5.6, 1023.8,    7.8,,26,,,    2.8,    7.7,  56,NE,해수서,Haesuseo,959,2018,12
,,,,,   22.1,    0.4, 1028.6,    3.6,,27,,,   -1.0,   13.5,  61,NNE,해수서,Haesuseo,959,2018,12
,,,,,   19.8,    0.3, 1032.0,    1.9,,28,,,   -1.9,   12.0,  67,N,해수서,Haesuseo,959,2018,12
,,,,,   17.2,    0.9, 1035.3,    2.9,,29,,,   -1.0,    7.9,  68,NNE,해수서,Haesuseo,959,2018,12
,,,,,   16.8,    0.9, 1036.6,    2.8,,30,,,   -1.4,    8.3,  68,N,해수서,Haesuseo,959,2018,12
,,,,,   14.2,    2.4, 1036.4,    4.8,,31,,,    0.3,    8.2,  64,NNE,해수서,Haesuseo,959,2018,12
,,,,,,    6.4, 1027.0,    9.0,,월,,,    4.5,    7.1,  65,,해수서,Haesuseo,959,2018,12
