TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20230402,90,1.4,1172,16,3.1,1737,16,4.5,1718,11.3,15.4,1317,7.9,2340,8.8,16.6,3.2,85.5,73.0,1318,11.4,-9.0,-9.0,-9.00,1020.8,1022.9,1024.5,1004,1019.6,1,3.0,9.4,12.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,93,1.7,1444,11,4.1,1211,14,7.7,1345,15.5,23.7,1520,5.7,644,-1.2,18.4,1.8,36.9,14.0,1658,5.7,7.9,5.5,-9.00,1009.0,1020.4,1023.0,2325,1017.5,1620,0.5,11.7,12.6,-9.0,23.17,3.10,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,13.1,10.8,9.8,10.1,11.8
20230402,95,1.3,1124,7,3.8,1345,5,9.0,1403,15.3,23.6,1409,6.7,624,-2.4,14.2,1.1,36.0,13.0,1027,5.3,7.8,5.5,-9.00,1001.7,1020.1,1022.7,2352,1017.1,1602,0.9,11.5,12.6,-9.0,23.15,3.10,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,98,1.4,1171,14,5.1,1159,7,8.9,1043,17.1,26.2,1403,8.1,627,-3.0,17.7,1.7,30.4,10.0,1457,5.1,8.7,6.1,-9.00,1005.6,1019.2,1021.5,2259,1016.6,1550,1.5,11.3,12.6,-9.0,22.95,3.22,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,99,1.7,1462,5,4.6,720,14,9.0,1012,15.5,25.0,1537,7.6,333,0.5,16.3,3.1,42.4,15.0,1544,6.4,7.2,5.1,-9.00,1016.2,1019.8,1022.3,2400,1017.1,1,1.6,11.5,12.6,-9.0,22.60,3.11,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,100,1.5,1307,9,4.0,1219,7,7.8,1352,6.2,14.1,1452,-2.0,604,0.2,10.0,-7.5,69.1,40.0,856,6.3,4.6,3.3,-9.00,932.9,1024.1,1028.4,2358,1020.8,1647,0.3,11.7,12.6,-9.0,24.01,3.23,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,101,2.3,1967,2,4.7,1544,36,8.7,1439,15.7,23.5,1432,8.0,615,-1.8,18.3,4.3,34.5,14.0,1248,5.4,8.2,5.7,-9.00,1010.8,1019.8,1022.5,2338,1016.7,1622,0.6,11.3,12.6,-9.0,21.62,3.05,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,11.7,9.6,9.3,12.0,15.6
20230402,102,3.0,2612,14,7.5,1245,14,10.7,1245,13.7,18.4,1320,8.6,532,-3.3,17.0,1.4,31.8,14.0,1,4.9,8.2,5.8,-9.00,1013.8,1018.1,1019.8,2356,1015.6,1,0.0,11.5,12.7,-9.0,23.88,3.23,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20230402,104,0.9,817,11,3.2,1607,14,5.1,1545,11.2,16.6,1349,6.2,625,6.4,15.0,1.2,73.3,49.0,1803,9.7,4.3,3.0,-9.00,1013.3,1022.5,1024.1,2333,1019.4,1,0.1,11.6,12.6,-9.0,22.20,3.07,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,11.9,9.7,9.0,10.1,10.6
20230402,105,1.6,1407,16,3.4,1427,14,6.9,1512,13.3,19.7,1344,7.1,617,6.6,16.2,2.5,64.6,44.0,1807,9.9,4.9,3.4,-9.00,1019.6,1022.9,1024.6,2336,1019.8,2,0.1,11.2,12.6,-9.0,20.70,2.82,1200,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,12.9,11.2,10.3,11.7,14.4
20230402,106,1.8,1533,5,5.2,1025,5,6.3,1014,11.4,15.9,1253,7.0,608,7.6,17.9,-1.8,78.1,60.0,837,10.5,-9.0,-9.0,-9.00,1018.1,1023.1,1024.8,2114,1020.1,5,0.4,11.2,12.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
